time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-05T01:01:53.546Z,44.5286,-115.246,10,2.7,ml,,32,1.137,0.82,us,us70008nyx,2020-04-05T01:11:42.040Z,"63km E of Cascade, Idaho",earthquake,4.1,2,0.049,54,reviewed,us,us
2020-04-05T00:56:23.505Z,44.4153,-115.1991,10,2.5,ml,,59,0.881,1.4,us,us70008nyv,2020-04-05T01:13:29.040Z,"67km E of Cascade, Idaho",earthquake,1.7,2,0.052,48,reviewed,us,us
2020-04-05T00:15:23.659Z,-8.6434,113.1343,127.89,5,mww,,54,1.021,1.22,us,us70008nye,2020-04-05T01:14:10.264Z,"40km SSE of Tegalrejo, Indonesia",earthquake,7.7,6,0.08,15,reviewed,us,us
2020-04-04T23:38:59.467Z,-23.3026,-179.8542,545.15,4.4,mb,,113,5.867,0.88,us,us70008nxt,2020-04-04T23:55:55.040Z,"South of the Fiji Islands",earthquake,13.1,10.2,0.075,51,reviewed,us,us
2020-04-04T23:21:16.250Z,18.0085,-66.7506,5,2.95,md,17,144,0.1329,0.13,pr,pr2020095044,2020-04-05T00:03:08.390Z,"2km ESE of Magas Arriba, Puerto Rico",earthquake,0.3,0.23,0.15,12,reviewed,pr,pr
2020-04-04T22:03:52.397Z,44.5416,-115.2077,10,2.5,ml,,55,0.785,0.8,us,us70008nvy,2020-04-04T22:44:17.040Z,"66km E of Cascade, Idaho",earthquake,2.2,2,0.059,38,reviewed,us,us
2020-04-04T21:10:41.702Z,17.9362,-66.8366,10,2.5,ml,,202,0.099,0.49,us,us70008nuu,2020-04-04T22:22:55.040Z,"6km SSW of Indios, Puerto Rico",earthquake,1.1,1.8,0.065,31,reviewed,us,us
2020-04-04T20:58:37.533Z,14.1228,-92.6894,21.6,4.5,mb,,181,1.043,0.94,us,us70008nup,2020-04-04T21:41:51.040Z,"68km SW of Ocos, Guatemala",earthquake,7.6,6.4,0.061,80,reviewed,us,us
2020-04-04T20:53:20.194Z,44.3855,-115.1123,10,2.8,ml,,60,0.945,0.86,us,us70008nul,2020-04-04T21:26:25.040Z,"71km W of Challis, Idaho",earthquake,2.7,2,0.047,60,reviewed,us,us
2020-04-04T20:22:46.090Z,17.9306,-66.825,12,2.75,md,16,209,0.0701,0.09,pr,pr2020095042,2020-04-04T21:52:20.316Z,"7km S of Indios, Puerto Rico",earthquake,0.55,0.34,0.22,10,reviewed,pr,pr
2020-04-04T20:00:21.230Z,17.9805,-66.9825,13,2.45,md,17,167,0.0627,0.16,pr,pr2020095043,2020-04-04T22:32:35.777Z,"6km E of La Parguera, Puerto Rico",earthquake,0.57,0.26,0.44,13,reviewed,pr,pr
2020-04-04T19:34:56.470Z,17.836,-66.8653,9,2.97,md,19,256,0.1398,0.1,pr,pr2020095041,2020-04-04T21:10:52.040Z,"20km SSE of Guanica, Puerto Rico",earthquake,0.62,0.9,0.4,17,reviewed,pr,pr
2020-04-04T19:25:59.600Z,17.909,-66.9036,3,2.72,md,17,223,0.0705,0.25,pr,pr2020095040,2020-04-04T19:57:29.863Z,"6km S of Guanica, Puerto Rico",earthquake,0.67,0.59,0.15,10,reviewed,pr,pr
2020-04-04T18:57:12.260Z,17.9083,-66.8751,11,2.49,md,14,221,0.0669,0.14,pr,pr2020095037,2020-04-04T21:40:46.931Z,"7km SSE of Guanica, Puerto Rico",earthquake,0.77,0.59,0.46,9,reviewed,pr,pr
2020-04-04T18:54:38.240Z,33.501,-116.5246667,8.95,2.46,ml,80,30,0.0566,0.21,ci,ci39130943,2020-04-05T01:15:42.274Z,"15km ESE of Anza, CA",earthquake,0.19,0.55,0.155,25,automatic,ci,ci
2020-04-04T18:51:14.290Z,18.0486,-66.8166,15,2.62,md,6,129,0.0965,0.06,pr,pr2020095036,2020-04-04T19:12:37.718Z,"3km ENE of Yauco, Puerto Rico",earthquake,1.42,1.85,0.07,5,reviewed,pr,pr
2020-04-04T18:37:58.219Z,44.3749,-115.1819,19.27,2.5,ml,,64,0.92,0.86,us,us70008nrz,2020-04-04T20:35:38.040Z,"70km ESE of Cascade, Idaho",earthquake,2.1,9.8,0.048,56,reviewed,us,us
2020-04-04T18:27:51.680Z,17.809,-66.875,6,2.66,md,18,266,0.1661,0.14,pr,pr2020095038,2020-04-04T19:51:43.351Z,"18km S of Guanica, Puerto Rico",earthquake,0.59,0.48,0.33,13,reviewed,pr,pr
2020-04-04T18:01:17.737Z,30.8687,-103.4655,5,3.3,ml,,70,0.131,0.65,us,us70008nrc,2020-04-04T18:16:14.040Z,"51km NE of Fort Davis, Texas",earthquake,1.7,1.9,0.04,82,reviewed,us,us
2020-04-04T17:53:14.677Z,44.3824,-115.1985,14.4,2.7,ml,,60,0.907,0.87,us,us70008nra,2020-04-04T20:27:39.040Z,"68km ESE of Cascade, Idaho",earthquake,2.7,2.1,0.04,84,reviewed,us,us
2020-04-04T17:38:53.210Z,17.9633,-66.837,12,2.45,md,4,210,0.0438,0.11,pr,pr2020095033,2020-04-04T17:57:14.907Z,"3km SSW of Indios, Puerto Rico",earthquake,1.22,0.64,0.07,4,reviewed,pr,pr
2020-04-04T16:29:33.562Z,44.4122,-115.1927,10,3.3,ml,,60,0.887,0.63,us,us70008npt,2020-04-04T23:08:52.980Z,"68km E of Cascade, Idaho",earthquake,1.9,2,0.041,80,reviewed,us,us
2020-04-04T16:28:56.160Z,18.0038,-66.79,7,2.97,md,20,150,0.0937,0.12,pr,pr2020095035,2020-04-05T00:31:28.179Z,"1km S of Guayanilla, Puerto Rico",earthquake,0.35,0.19,0.31,17,reviewed,pr,pr
2020-04-04T16:18:45.410Z,44.4648,-115.2837,10,2.7,ml,,60,0.805,0.61,us,us70008npk,2020-04-04T17:28:15.040Z,"60km E of Cascade, Idaho",earthquake,2.9,2,0.048,58,reviewed,us,us
