time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-15T02:57:27.387Z,64.9292,-148.9598,2.5,1.2,ml,,,,0.75,ak,ak02024493v2,2020-02-15T03:08:07.375Z,"39km N of North Nenana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-15T02:54:49.530Z,19.2229996,-155.4011688,32.44,2,md,45,151,0.01484,0.12,hv,hv71383702,2020-02-15T02:58:05.360Z,"8km ENE of Pahala, Hawaii",earthquake,0.68,0.84,0.16,13,automatic,hv,hv
2020-02-15T02:53:27.510Z,33.4685,-116.5115,5.1,0.59,ml,18,57,0.09025,0.18,ci,ci39072151,2020-02-15T02:57:10.202Z,"18km ESE of Anza, CA",earthquake,0.35,1.53,0.081,6,automatic,ci,ci
2020-02-15T02:49:35.421Z,61.4711,-149.9838,40.4,1.4,ml,,,,0.9,ak,ak0202447eq3,2020-02-15T02:57:12.763Z,"5km SSW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-02-15T02:31:06.170Z,35.6801667,-117.5488333,7.14,1.55,ml,26,73,0.1171,0.18,ci,ci39072135,2020-02-15T02:34:49.421Z,"13km ENE of Ridgecrest, CA",earthquake,0.29,0.91,0.142,25,automatic,ci,ci
2020-02-15T02:29:22.628Z,34.54904175,-97.37302399,0.785153806,2.61,ml,50,56.16953278,0.00721133,0.733817687,ok,ok2020deko,2020-02-15T02:33:28.098Z,"21km WSW of Wynnewood, Oklahoma",earthquake,2.020083677,1.474368483,,37,automatic,ok,ok
2020-02-15T02:16:13.940Z,38.8146667,-122.8190002,1.22,0.32,md,11,64,0.009836,0.03,nc,nc73341235,2020-02-15T02:48:02.473Z,"7km NW of The Geysers, CA",earthquake,0.26,0.55,0.24,2,automatic,nc,nc
2020-02-15T02:14:27.090Z,35.3463333,-116.7293333,9.22,1.89,ml,15,49,0.07669,0.17,ci,ci39072119,2020-02-15T02:24:54.790Z,"10km NNW of Fort Irwin, CA",earthquake,0.37,0.98,0.164,26,automatic,ci,ci
2020-02-15T02:10:36.043Z,60.9041,-150.9326,9.3,2.7,ml,,,,0.66,ak,ak020243z1vm,2020-02-15T02:51:01.040Z,"32km NNE of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-15T02:01:10.205Z,63.0758,-150.3801,103.6,2.5,ml,,,,0.43,ak,ak020243x2f2,2020-02-15T02:42:30.040Z,"80km WSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-15T02:00:49.150Z,34.2195,-117.4236667,13.22,0.68,ml,18,80,0.05079,0.13,ci,ci39072111,2020-02-15T03:05:53.628Z,"2km W of Devore, CA",earthquake,0.27,0.41,0.152,8,reviewed,ci,ci
2020-02-15T01:53:17.350Z,19.5066662,-155.5871735,-0.85,1.81,ml,5,152,0.02341,0.11,hv,hv71383612,2020-02-15T01:58:51.650Z,"29km E of Honaunau-Napoopoo, Hawaii",earthquake,0.47,0.73,5.14,3,automatic,hv,hv
2020-02-15T01:52:00.740Z,19.2189999,-155.4196625,33.28,2.63,ml,59,137,0.02788,0.14,hv,hv71383607,2020-02-15T02:26:46.040Z,"4km NE of Pahala, Hawaii",earthquake,0.55,0.6,2.49,26,automatic,hv,hv
2020-02-15T01:51:23.450Z,38.7861671,-122.7323303,1.87,0.58,md,12,97,0.004512,0.02,nc,nc73341220,2020-02-15T02:29:03.363Z,"2km ENE of The Geysers, CA",earthquake,0.36,0.68,,1,automatic,nc,nc
2020-02-15T01:47:20.560Z,19.3414993,-155.177002,4.01,2.17,ml,29,113,0.03844,0.22,hv,hv71383597,2020-02-15T01:52:55.060Z,"11km SSE of Volcano, Hawaii",earthquake,0.52,1.32,0.25,14,automatic,hv,hv
2020-02-15T01:41:35.530Z,35.666,-117.4703333,1.28,1.41,ml,22,89,0.0796,0.16,ci,ci39072103,2020-02-15T01:45:14.094Z,"13km SSW of Searles Valley, CA",earthquake,0.29,0.48,0.203,17,automatic,ci,ci
2020-02-15T01:39:29.060Z,33.8235,-116.7928333,11.89,0.72,ml,14,84,0.1004,0.2,ci,ci39072095,2020-02-15T01:43:13.075Z,"10km S of Cabazon, CA",earthquake,0.45,1.29,0.193,12,automatic,ci,ci
2020-02-15T01:39:06.910Z,37.1609993,-121.5500031,3.39,1.3,md,14,117,,0.04,nc,nc73341215,2020-02-15T02:18:03.283Z,"10km ENE of Morgan Hill, CA",earthquake,0.32,1.21,0.31,9,automatic,nc,nc
2020-02-15T01:32:26.640Z,63.0755,-150.4536,29.6,1.7,ml,,,,1.21,ak,ak020243ibaw,2020-02-15T01:39:32.039Z,"83km WSW of Cantwell, Alaska",earthquake,,2.2,,,automatic,ak,ak
2020-02-15T01:28:03.760Z,35.8995018,-117.7031631,4.33,1.37,ml,30,50,0.06456,0.14,ci,ci39072087,2020-02-15T01:38:41.340Z,"19km ESE of Little Lake, CA",earthquake,0.23,0.56,0.131,5,automatic,ci,ci
2020-02-15T01:23:23.150Z,45.7665,-122.5106667,-0.96,1.29,ml,7,314,,0.09,uw,uw61574382,2020-02-15T01:34:05.180Z,"2km SE of Battle Ground, Washington",explosion,1.38,31.61,0.247844784,7,reviewed,uw,uw
2020-02-15T01:20:52.210Z,17.7935,-66.8795,8,2.05,md,8,250,0.1816,0.29,pr,pr2020046002,2020-02-15T01:33:53.547Z,"19km S of Guanica, Puerto Rico",earthquake,1.58,1.37,0.09,2,reviewed,pr,pr
2020-02-15T01:18:06.280Z,38.8438339,-122.878334,2.48,0.1,md,7,207,0.008498,0.01,nc,nc73341200,2020-02-15T01:50:02.115Z,"13km ENE of Cloverdale, CA",earthquake,0.62,0.8,,1,automatic,nc,nc
2020-02-15T01:18:03.770Z,35.9371681,-120.487999,9.69,1.58,md,24,105,0.01629,0.05,nc,nc73341195,2020-02-15T01:40:03.050Z,"7km NW of Parkfield, CA",earthquake,0.37,0.39,0.13,12,automatic,nc,nc
2020-02-15T01:08:59.630Z,17.9061,-66.838,11,1.92,md,10,220,0.0804,0.25,pr,pr2020046001,2020-02-15T01:32:23.331Z,"9km SSW of Indios, Puerto Rico",earthquake,1.32,0.86,0.16,5,reviewed,pr,pr
2020-02-15T01:08:00.310Z,35.9399986,-120.4851685,9.94,2.98,md,47,118,0.01281,0.06,nc,nc73341190,2020-02-15T02:34:07.040Z,"7km NW of Parkfield, CA",earthquake,0.22,0.19,0.12,61,automatic,nc,nc
2020-02-15T01:02:06.840Z,17.9195,-66.798,6,2.4,md,12,215,0.0984,0.18,pr,pr2020046000,2020-02-15T01:20:00.988Z,"8km SSE of Indios, Puerto Rico",earthquake,1.02,0.53,0.3,5,reviewed,pr,pr
